Libelle,Count,geo_point.1,geo_point.2,
Bd_Brune,8258707,48.82337364,2.306081184,
Bd_Montmartre,1889652,48.87177773,2.340766516,
Bd_Bessieres,3428573,48.8947873,2.314441916,
Quai_d'Issy,3762536,48.83590659,2.267021022,
PI_Cloture,7595431,48.89868823,2.393102827,
SE_A4_bretelle_5,2355916,48.82631864,2.391162982,
Chapelle_bretelle_4,3020382,48.9016702,2.359018224,
Av_Pdt_Kennedy,5632889,48.85190867,2.27951874,
Quai_Montebello,4152456,48.85141174,2.347504833,
AE_Quai_d'Issy_bretelle_3,902616,48.83496729,2.271637939,
PI_Pre_St_Gervais,7161749,48.88143612,2.402714727,
Gal_Catroux-N,1082380,48.8833614,2.309571154,
Rue_du_Fbg_St_Martin,3282110,48.87041312,2.356351334,
Bd_Massena-Pt_National,1941500,48.82656914,2.384186597,
PE_Andre_Brechet,8532326,48.90039488,2.322057997,
Bd_Lannes,2254762,48.86299838,2.268595318,
Belleville,5207778,48.87249473,2.378419678,
PE_Clichy,7549618,48.89611867,2.308739262,
Bd_Suchet,4734901,48.8493133,2.259520827,
Rivoli,9889524,48.85573794,2.324250938,
PI_Andre_Brechet,6188815,48.90048632,2.325299646,
Quai_Tournelle,4711266,48.84952837,2.352438717,
Bd_Grenelle,1563455,48.84837492,2.290919571,
Av_de_New_York,5276329,48.85857318,2.288902961,
PI_Maillot,7064481,48.87928055,2.281393095,
AI_Maillot_2_bretelle_10,1049044,48.88063994,2.282247705,
Pt_de_Grenelle,467795,48.85037779,2.280075343,
SI_A6B_bretelle_1,3026043,48.8163436,2.359684771,
Av_Pte_Aubervilliers,1367584,48.8992422,2.37025697,
Crimee,1998040,48.89142817,2.372554995,
Bd_Macdonald,4081569,48.89626021,2.371823667,
Av_de_St_Ouen,2285808,48.88800046,2.325835443,
Bd_Indochine,207439,48.88665517,2.396264324,
Av_Clichy,273154,48.89091914,2.319728921,
Av_Pte_Chapelle,1212473,48.89853958,2.359196953,
Quai_de_la_Rapee_Y,6432629,48.84118174,2.370471115,
PI_Lac_Superieur,5061489,48.85595491,2.25693027,
Souterrain_Pantin_S_N,896119,48.88941509,2.395162884,
Bd_Murat,4026576,48.83924386,2.25600345,
Quai_de_Bercy_W,16076937,48.82907906,2.379275208,
Av_Victor_Hugo,3998815,48.86495393,2.274156371,
Pl_Pte_Molitor,470667,48.84524898,2.256513653,
PE_Lac_Superieur,6275699,48.85674755,2.257952622,
Av_Pte_Auteuil,945536,48.84789312,2.255137321,
Bd_Berthier,1536953,48.89111957,2.305998853,
Pont_Charles_de_Gaulle,1452359,48.84233385,2.368676728,
Bd_Exelmans,6789020,48.84030427,2.25873942,
Av_du_Maine,12172393,48.82850808,2.320088281,
Cours_Albert_Ier,1911730,48.86429349,2.303371562,
Av_Pdt_Wilson,7365512,48.86358648,2.289215485,
Souterrain_Alma_VGP,2129345,48.86426486,2.301548647,
Av_Pte_Villette,2041490,48.89913922,2.386991846,
Bd_Kellermann,3801620,48.8191037,2.345370083,
AE_A13_bretelle_5,1627959,48.84798974,2.252072612,
Voie_Mazas,7605533,48.84493958,2.366028726,
Julia_Bartet,1571105,48.82609522,2.302748811,
Claude_Terrasse,301345,48.83830217,2.261690528,
Quai_Austerlitz,5065112,48.84008795,2.365569625,
Quai_Rapee_Bercy_Y,4290882,48.83856025,2.376072099,
Quai_St_Exupery,1373751,48.83558888,2.262963832,
Turbigo,682715,48.86570353,2.357053081,
Bd_Bourdon-Acces_Mazas,1457180,48.84717748,2.365307063,
Av_Georges_Lafont,251677,48.83573808,2.255784361,
Av_de_Villiers,1340450,48.88512781,2.29163634,
AI_A13_bretelle_3,1793272,48.84914183,2.25147445,
Ernest_Renan,658696,48.83178712,2.28153954,
Bd_Davout,2429951,48.84811478,2.408967546,
Quai_de_Bercy_Y,4283393,48.83595677,2.379139681,
Av_Pte_Chaumont,326740,48.88604833,2.397539726,
Bd_des_Italiens,2807837,48.87130482,2.33574708,
Quai_d'Austerlitz,683704,48.83850821,2.372403234,
PI_Mortemart,4281689,48.85274722,2.253006866,
PE_Bercy,5338433,48.82730094,2.39182478,
PE_Charenton,7999541,48.82864371,2.398253207,
Av_de_Clichy,5267831,48.88624,2.314597878,
PE_Reuilly,7627168,48.83194119,2.405157365,
PE_Courteline,8145629,48.84315052,2.413971426,
PE_Lagny,7901239,48.85053376,2.415226268,
Quai_Tuileries,4965596,48.86121653,2.323455924,
PE_Montreuil,7418641,48.85418546,2.414272993,
Av_Denfert_Rochereau,962223,48.83445718,2.332410113,
PI_Montreuil,5330465,48.85401218,2.414071376,
Pl_Lachambeaudie,557022,48.83612808,2.386781037,
PE_Parc_Princes,6869559,48.84300977,2.254071361,
PI_Lagny,7195646,48.85038154,2.415013683,
PI_Guyane,8196762,48.83890203,2.412903717,
PI_Doree,7934768,48.83440146,2.409856824,
PI_Bercy,5261706,48.82737538,2.391336194,
PI_Pont_Amont,8359912,48.82641573,2.388355038,
Bd_St_Denis,1993042,48.86942508,2.353353415,
PE_Lilas,5944526,48.87879197,2.4077276,
PE_Pantin,4840038,48.88955592,2.396442434,
Av_Pte_Sevres,1126940,48.8347318,2.277426468,
PE_Villette,6202513,48.90045046,2.386613761,
PE_Zac_Aubervillie,6244391,48.90036669,2.378437481,
Pl_Republique,3231628,48.86687746,2.362827833,
PE_Chapelle_Est,5087215,48.90089537,2.361976853,
Temple,1231502,48.8669443,2.362490363,
SE_A3_bretelle_4,3439344,48.86440164,2.416817059,
PI_Chapelle_Est,4577308,48.90071941,2.362259001,
PI_Aubervilliers,4365274,48.90055711,2.371341506,
PI_Zac_Aubervilliers,7438278,48.90019685,2.378465061,
PI_Clignancourt,6567995,48.90088441,2.344092879,
PI_Poissonniers,8083625,48.9009998,2.351925689,
Av_du_Trone,2067029,48.84812196,2.397908236,
Bagnolet_bretelle_6,1243857,48.86623869,2.413974289,
Pl_de_la_Nation,1789296,,,
PE_Revolte,7232430,48.89373524,2.303989697,
PI_Revolte,7017370,48.89440091,2.305527798,
Bd_des_Batignolles,1177842,48.88349756,2.326482863,
PI_Clichy,5814521,48.89656602,2.310351532,
Souterrain_Maine,1431053,48.84078104,2.321447059,
PI_Batignolles,6151084,48.89921517,2.318267614,
PI_Champerret,6178737,48.88641193,2.289325482,
Av_Republique,7134339,48.86299244,2.36625221,
PI_Ternes,7488694,48.88304069,2.284195871,
Av_Gambetta,7010529,48.86346472,2.389892929,
PE_Armenonville,7231861,48.87479731,2.275968517,
PE_Dauphine,6704571,48.87196467,2.273414586,
Bd_Soult,3972295,48.8363203,2.407400832,
PI_Dauphine,6186173,48.87184377,2.273660556,
PE_Ambass_Russie,6911866,48.86792346,2.269684069,
PE_Muette,6415416,48.86356975,2.265851237,
PI_Muette,6775604,48.86345776,2.266074027,
Pont_d'Austerlitz,2197851,48.84464414,2.365439219,
PE_Passy,4924862,48.85936406,2.262483644,
Bd_Filles_du_Calvaire,1451317,48.86199081,2.366739612,
PI_Passy_Muette,7693233,48.86019341,2.263517467,
Pl_de_la_Bourse_cote_Reaumur,873859,48.86871495,2.340953468,
PI_Passy,6862620,48.85847678,2.261189626,
St_Lazare,824324,48.87583517,2.328854826,
Bd_Poniatowski-Pt_National,927928,48.82884751,2.388923069,
Bagnolet_bretelle_5,918064,48.86467483,2.414699111,
PI_St_Cloud,6652268,48.83925965,2.254289772,
Rte_Suresnes,46798,48.87125456,2.273249581,
Pl_Denfert_Rochereau,3081770,48.83353801,2.331223432,
Bd_de_l'Hopital,12104920,48.83312035,2.356720936,
Bd_Arago,3763875,48.83446545,2.335085097,
Bd_St_Jacques,3728944,48.83182165,2.334686821,
SI_A3_bretelle_2,1596503,48.86502514,2.414632933,
Bd_Poissonniere,3426363,48.87074818,2.344512027,
Bd_Bonne_Nouvelle,4063600,48.8697875,2.350161209,
Bd_des_Capucines,2237550,48.87003669,2.328960147,
Quai_de_la_Megisserie,7691788,48.85735497,2.343447271,
Av_Jean_Moulin,1443826,48.82510741,2.320375393,
Bd_Jourdan,4497275,48.81943922,2.326118862,
Av_de_la_Pte_de_Chatillon,2184213,48.82318902,2.315823967,
Souterrain_Varsovie_VGP,1966251,48.86069222,2.291463276,
Lyon,2109482,48.8504531,2.369860051,
PI_Quai_Issy,6326326,48.83529604,2.269781656,
4_Septembre,2877215,48.86903471,2.333195901,
PI_Pont_Aval,6787222,48.83504463,2.263790523,
Pte_d'Orleans,2656529,48.82003137,2.325572664,
A6A_W_bretelle_9,3531851,48.81786627,2.333745789,
Bd_Bastille,2357076,48.84728194,2.367269893,
Bd_de_Reuilly,1674072,48.83908062,2.39066805,
Bd_St_Michel,9167138,48.84101981,2.337389173,
PE_Arts_et_Metiers,3454357,48.81804315,2.332980094,
Taine,783443,48.83790804,2.392205742,
Bd_Amiral_Bruix,555310,48.87421754,2.277857196,
Belgrand,2433002,48.86456678,2.400114504,
Av_Grande_Armee,7037313,48.87645297,2.284473051,
PE_Poterne,4018753,48.81737011,2.35055092,
SE_Bercy_bretelle_4,2288173,48.82714773,2.391618469,
Av_Pte_de_Montreuil,562815,48.85367172,2.411883509,
PE_Charles_Leroy,6068335,48.81672969,2.365067382,
PE_Choisy,7937341,48.81795906,2.368602399,
A3_bretelle_1,1842663,48.86588209,2.418085012,
PE_Haubans,8116183,48.82245638,2.380437409,
AI_A3_bretelle_2,0,48.86527149,2.418101441,
PE_Quai_Ivry,8734223,48.82527456,2.385742455,
Av_Pte_Bagnolet,3136692,48.86454494,2.409639374,
AI_RN13_bretelle_15,1416226,48.87660476,2.27952761,
PI_Haubans,8152642,48.82262457,2.380369149,
PI_A6B,3982014,48.81616239,2.361958617,
AE_A6B,745607,48.81606479,2.358285628,
PI_Gentilly,3999379,48.81650211,2.344156147,
PI_Orleans,5764248,48.82021286,2.325144816,
SI_A13_bretelle_6,1851324,48.84779313,2.254166194,
SE_Maillot_bretelle_5,490715,48.88119119,2.281863362,
Bd_Algerie,431472,48.87885191,2.400686875,
Quai_Francois_Mauriac,2972676,48.83255418,2.376215211,
SE_Maillot_Bois_bretelle_1,936135,48.8788265,2.280528248,
AE_Maillot_bretelle_11,532656,48.87871888,2.280669778,
PE_Doree,7664036,48.83427966,2.410037712,
Bd_Auguste_Blanqui,9952505,48.82973934,2.341934222,
Vaugirard,9079523,48.83774565,2.297423297,
Pt_d'Austerlitz,2418605,48.84584755,2.367605317,
Quai_Grands_Augustins,2744560,48.85424815,2.341410193,
Av_Pte_Asnieres,1038559,48.89053316,2.301970516,
Gay_Lussac,489752,48.84350343,2.341380382,
PE_Chaumont,6964414,48.88430766,2.399109258,
St_Antoine,1216578,48.85333465,2.36087608,
Beaubourg,1833157,48.86193557,2.353845015,
Bd_Massena,8384671,48.81902809,2.360869645,
Chapelle_bretelle_1,540402,48.9013921,2.358734705,
Av_Pte_d_Ivry,380142,48.82023404,2.371663714,
Quai_Anatole_France,3890189,48.85973926,2.31907317,
Rd_Point_Pte_Sevres,1892718,48.83370941,2.276936858,
Av_Pte_de_Sevres,2660336,48.83458549,2.277588711,
Observatoire,603027,48.84003504,2.336854622,
SI_Plaine,744518,48.82688643,2.296003554,
Pte_Brancion,830078,48.82571651,2.300194089,
Av_Pte_Brancion,1623288,48.8267157,2.300572411,
